algorithm,size,seconds
insertion_simple,0,0.000001600
insertion_simple,50,0.000002600
insertion_simple,100,0.000005000
insertion_simple,150,0.000008800
insertion_simple,200,0.000016400
insertion_simple,250,0.000027000
insertion_simple,300,0.000034000
insertion_simple,350,0.000038600
insertion_simple,400,0.000060400
insertion_simple,450,0.000058000
insertion_simple,500,0.000079000
insertion_simple,550,0.000083800
insertion_simple,600,0.000114000
insertion_simple,650,0.000096200
insertion_simple,700,0.000137000
insertion_simple,750,0.000130600
insertion_simple,800,0.000138600
insertion_simple,850,0.000145200
insertion_simple,900,0.000203000
insertion_simple,950,0.000226200
insertion_simple,1000,0.000228400
bubble_simple,0,0.000002400
bubble_simple,50,0.000012000
bubble_simple,100,0.000036800
bubble_simple,150,0.000096400
bubble_simple,200,0.000155000
bubble_simple,250,0.000236400
bubble_simple,300,0.000353600
bubble_simple,350,0.000410200
bubble_simple,400,0.000568000
bubble_simple,450,0.000651800
bubble_simple,500,0.000798200
bubble_simple,550,0.001100400
bubble_simple,600,0.001180800
bubble_simple,650,0.001308600
bubble_simple,700,0.001481600
bubble_simple,750,0.001776600
bubble_simple,800,0.001998200
bubble_simple,850,0.002173000
bubble_simple,900,0.002373400
bubble_simple,950,0.002675200
bubble_simple,1000,0.003318000
selection_simple,0,0.000000800
selection_simple,50,0.000007000
selection_simple,100,0.000020800
selection_simple,150,0.000043800
selection_simple,200,0.000080600
selection_simple,250,0.000168200
selection_simple,300,0.000309800
selection_simple,350,0.000315400
selection_simple,400,0.000319600
selection_simple,450,0.000434200
selection_simple,500,0.000563200
selection_simple,550,0.000624000
selection_simple,600,0.000724000
selection_simple,650,0.000821000
selection_simple,700,0.000966800
selection_simple,750,0.001101000
selection_simple,800,0.001276800
selection_simple,850,0.001436200
selection_simple,900,0.001625800
selection_simple,950,0.001776200
selection_simple,1000,0.002056200
shell_knuth_gap,0,0.000000800
shell_knuth_gap,50,0.000009000
shell_knuth_gap,100,0.000007400
shell_knuth_gap,150,0.000011400
shell_knuth_gap,200,0.000017000
shell_knuth_gap,250,0.000034400
shell_knuth_gap,300,0.000026400
shell_knuth_gap,350,0.000029800
shell_knuth_gap,400,0.000036200
shell_knuth_gap,450,0.000036600
shell_knuth_gap,500,0.000043400
shell_knuth_gap,550,0.000047200
shell_knuth_gap,600,0.000053800
shell_knuth_gap,650,0.000062000
shell_knuth_gap,700,0.000065800
shell_knuth_gap,750,0.000065800
shell_knuth_gap,800,0.000068400
shell_knuth_gap,850,0.000073000
shell_knuth_gap,900,0.000079600
shell_knuth_gap,950,0.000093400
shell_knuth_gap,1000,0.000119400
