algorithm,size,seconds
quick_3way_pivot_median3_baseline,0,0.000001000
quick_3way_pivot_median3_baseline,10000,0.001211800
quick_3way_pivot_median3_baseline,20000,0.002731400
quick_3way_pivot_median3_baseline,30000,0.003930000
quick_3way_pivot_median3_baseline,40000,0.005589600
quick_3way_pivot_median3_baseline,50000,0.007056000
quick_3way_pivot_median3_baseline,60000,0.008134000
quick_3way_pivot_median3_baseline,70000,0.009974000
quick_3way_pivot_median3_baseline,80000,0.011281000
quick_3way_pivot_median3_baseline,90000,0.013173400
quick_3way_pivot_median3_baseline,100000,0.014367200
quick_3way_pivot_median3_baseline,110000,0.015835200
quick_3way_pivot_median3_baseline,120000,0.017644400
quick_3way_pivot_median3_baseline,130000,0.018645000
quick_3way_pivot_median3_baseline,140000,0.020370600
quick_3way_pivot_median3_baseline,150000,0.021779200
quick_3way_pivot_median3_baseline,160000,0.023428000
quick_3way_pivot_median3_baseline,170000,0.026132400
quick_3way_pivot_median3_baseline,180000,0.027198400
quick_3way_pivot_median3_baseline,190000,0.029016600
quick_3way_pivot_median3_baseline,200000,0.029697400
quick_3way_pivot_median3_baseline,210000,0.032311600
quick_3way_pivot_median3_baseline,220000,0.034079200
quick_3way_pivot_median3_baseline,230000,0.035899200
quick_3way_pivot_median3_baseline,240000,0.037083200
quick_3way_pivot_median3_baseline,250000,0.038843200
quick_3way_pivot_median3_baseline,260000,0.041503800
quick_3way_pivot_median3_baseline,270000,0.042947000
quick_3way_pivot_median3_baseline,280000,0.044661800
quick_3way_pivot_median3_baseline,290000,0.045452000
quick_3way_pivot_median3_baseline,300000,0.047894000
quick_3way_pivot_median3_baseline,310000,0.047726600
quick_3way_pivot_median3_baseline,320000,0.049981800
quick_3way_pivot_median3_baseline,330000,0.051829600
quick_3way_pivot_median3_baseline,340000,0.056426000
quick_3way_pivot_median3_baseline,350000,0.057662400
quick_3way_pivot_median3_baseline,360000,0.055514000
quick_3way_pivot_median3_baseline,370000,0.058342200
quick_3way_pivot_median3_baseline,380000,0.059745600
quick_3way_pivot_median3_baseline,390000,0.060533200
quick_3way_pivot_median3_baseline,400000,0.062839200
quick_3way_pivot_median3_baseline,410000,0.064110200
quick_3way_pivot_median3_baseline,420000,0.066339200
quick_3way_pivot_median3_baseline,430000,0.067854600
quick_3way_pivot_median3_baseline,440000,0.068752600
quick_3way_pivot_median3_baseline,450000,0.073538000
quick_3way_pivot_median3_baseline,460000,0.074709600
quick_3way_pivot_median3_baseline,470000,0.076528400
quick_3way_pivot_median3_baseline,480000,0.076473000
quick_3way_pivot_median3_baseline,490000,0.076371600
quick_3way_pivot_median3_baseline,500000,0.080145000
quick_3way_pivot_median3_baseline,510000,0.085095600
quick_3way_pivot_median3_baseline,520000,0.090363000
quick_3way_pivot_median3_baseline,530000,0.089374600
quick_3way_pivot_median3_baseline,540000,0.090134600
quick_3way_pivot_median3_baseline,550000,0.096542400
