algorithm,size,seconds
heap_k2_bottom_up,0,0.000002000
heap_k2_bottom_up,10000,0.001620800
heap_k2_bottom_up,20000,0.003288000
heap_k2_bottom_up,30000,0.005214400
heap_k2_bottom_up,40000,0.007078600
heap_k2_bottom_up,50000,0.008813200
heap_k2_bottom_up,60000,0.010880600
heap_k2_bottom_up,70000,0.012537800
heap_k2_bottom_up,80000,0.015809200
heap_k2_bottom_up,90000,0.016946200
heap_k2_bottom_up,100000,0.018859800
heap_k2_bottom_up,110000,0.020670000
heap_k2_bottom_up,120000,0.022981200
heap_k2_bottom_up,130000,0.024850400
heap_k2_bottom_up,140000,0.027383800
heap_k2_bottom_up,150000,0.028657800
heap_k2_bottom_up,160000,0.033693600
heap_k2_bottom_up,170000,0.033494800
heap_k2_bottom_up,180000,0.036724200
heap_k2_bottom_up,190000,0.038147000
heap_k2_bottom_up,200000,0.043569200
heap_k2_bottom_up,210000,0.044264600
heap_k2_bottom_up,220000,0.046188200
heap_k2_bottom_up,230000,0.049227800
heap_k2_bottom_up,240000,0.052780200
heap_k2_bottom_up,250000,0.050275000
heap_k2_bottom_up,260000,0.056737600
heap_k2_bottom_up,270000,0.057375000
heap_k2_bottom_up,280000,0.067308000
heap_k2_bottom_up,290000,0.062298600
heap_k2_bottom_up,300000,0.064993400
heap_k2_bottom_up,310000,0.068350000
heap_k2_bottom_up,320000,0.070485000
heap_k2_bottom_up,330000,0.070788600
heap_k2_bottom_up,340000,0.076369200
heap_k2_bottom_up,350000,0.076156200
heap_k2_bottom_up,360000,0.080748400
heap_k2_bottom_up,370000,0.080072400
heap_k2_bottom_up,380000,0.080681600
heap_k2_bottom_up,390000,0.087956000
heap_k2_bottom_up,400000,0.087187200
heap_k2_bottom_up,410000,0.093170200
heap_k2_bottom_up,420000,0.091832600
heap_k2_bottom_up,430000,0.095132600
heap_k2_bottom_up,440000,0.098556400
heap_k2_bottom_up,450000,0.103830400
heap_k2_bottom_up,460000,0.106330800
heap_k2_bottom_up,470000,0.104954800
heap_k2_bottom_up,480000,0.110554600
heap_k2_bottom_up,490000,0.112486200
heap_k2_bottom_up,500000,0.115944800
heap_k2_bottom_up,510000,0.119078800
heap_k2_bottom_up,520000,0.121759400
heap_k2_bottom_up,530000,0.128023000
heap_k2_bottom_up,540000,0.128553600
heap_k2_bottom_up,550000,0.123789800
heap_k2_bottom_up,560000,0.131123800
heap_k2_bottom_up,570000,0.128477400
heap_k2_bottom_up,580000,0.134861600
heap_k2_bottom_up,590000,0.137139200
heap_k2_bottom_up,600000,0.141430000
heap_k2_bottom_up,610000,0.140251600
heap_k2_bottom_up,620000,0.143730400
heap_k2_bottom_up,630000,0.147924000
heap_k2_bottom_up,640000,0.154394000
heap_k2_bottom_up,650000,0.154712200
heap_k2_bottom_up,660000,0.161351800
heap_k2_bottom_up,670000,0.162666800
