algorithm,size,seconds
quick_3way_pivot_median3_baseline,0,0.000001200
quick_3way_pivot_median3_baseline,10000,0.001319000
quick_3way_pivot_median3_baseline,20000,0.002777600
quick_3way_pivot_median3_baseline,30000,0.003819400
quick_3way_pivot_median3_baseline,40000,0.005942600
quick_3way_pivot_median3_baseline,50000,0.006754000
quick_3way_pivot_median3_baseline,60000,0.008370400
quick_3way_pivot_median3_baseline,70000,0.010724400
quick_3way_pivot_median3_baseline,80000,0.011217000
quick_3way_pivot_median3_baseline,90000,0.012972000
quick_3way_pivot_median3_baseline,100000,0.014244600
quick_3way_pivot_median3_baseline,110000,0.016609200
quick_3way_pivot_median3_baseline,120000,0.017903800
quick_3way_pivot_median3_baseline,130000,0.019627000
quick_3way_pivot_median3_baseline,140000,0.020306000
quick_3way_pivot_median3_baseline,150000,0.022593400
quick_3way_pivot_median3_baseline,160000,0.023580400
quick_3way_pivot_median3_baseline,170000,0.025740200
quick_3way_pivot_median3_baseline,180000,0.027418200
quick_3way_pivot_median3_baseline,190000,0.033838400
quick_3way_pivot_median3_baseline,200000,0.030482800
quick_3way_pivot_median3_baseline,210000,0.032528600
quick_3way_pivot_median3_baseline,220000,0.037081000
quick_3way_pivot_median3_baseline,230000,0.036659200
quick_3way_pivot_median3_baseline,240000,0.040786600
quick_3way_pivot_median3_baseline,250000,0.038898400
quick_3way_pivot_median3_baseline,260000,0.040806600
quick_3way_pivot_median3_baseline,270000,0.042216800
quick_3way_pivot_median3_baseline,280000,0.043530200
quick_3way_pivot_median3_baseline,290000,0.046592800
quick_3way_pivot_median3_baseline,300000,0.046831800
quick_3way_pivot_median3_baseline,310000,0.049767600
quick_3way_pivot_median3_baseline,320000,0.051509800
quick_3way_pivot_median3_baseline,330000,0.052876800
quick_3way_pivot_median3_baseline,340000,0.054454800
quick_3way_pivot_median3_baseline,350000,0.055259200
quick_3way_pivot_median3_baseline,360000,0.060609400
quick_3way_pivot_median3_baseline,370000,0.059720000
quick_3way_pivot_median3_baseline,380000,0.059900000
quick_3way_pivot_median3_baseline,390000,0.064487200
quick_3way_pivot_median3_baseline,400000,0.062661200
quick_3way_pivot_median3_baseline,410000,0.064595600
quick_3way_pivot_median3_baseline,420000,0.067915400
quick_3way_pivot_median3_baseline,430000,0.071724200
quick_3way_pivot_median3_baseline,440000,0.073530600
quick_3way_pivot_median3_baseline,450000,0.074235400
quick_3way_pivot_median3_baseline,460000,0.073661400
quick_3way_pivot_median3_baseline,470000,0.076986600
quick_3way_pivot_median3_baseline,480000,0.079412600
quick_3way_pivot_median3_baseline,490000,0.078285000
quick_3way_pivot_median3_baseline,500000,0.082871400
quick_3way_pivot_median3_baseline,510000,0.085030800
quick_3way_pivot_median3_baseline,520000,0.083987000
quick_3way_pivot_median3_baseline,530000,0.086650800
quick_3way_pivot_median3_baseline,540000,0.087019000
quick_3way_pivot_median3_baseline,550000,0.088161000
quick_3way_pivot_median3_baseline,560000,0.093606400
quick_3way_pivot_median3_baseline,570000,0.093015600
quick_3way_pivot_median3_baseline,580000,0.092439200
quick_3way_pivot_median3_baseline,590000,0.096977200
quick_3way_pivot_median3_baseline,600000,0.099426200
quick_3way_pivot_median3_baseline,610000,0.098438200
quick_3way_pivot_median3_baseline,620000,0.105080000
quick_3way_pivot_median3_baseline,630000,0.104756400
quick_3way_pivot_median3_baseline,640000,0.106054600
quick_3way_pivot_median3_baseline,650000,0.105100400
quick_3way_pivot_median3_baseline,660000,0.109220200
quick_3way_pivot_median3_baseline,670000,0.123173600
quick_3way_pivot_median3_baseline,680000,0.111727000
quick_3way_pivot_median3_baseline,690000,0.119645200
quick_3way_pivot_median3_baseline,700000,0.115426600
quick_3way_pivot_median3_baseline,710000,0.118388000
