algorithm,size,seconds
binary_heap_linear,100000,0.001521562
binary_heap_linear,200000,0.002853327
binary_heap_linear,300000,0.004353271
binary_heap_linear,400000,0.005751468
binary_heap_linear,500000,0.007322922
binary_heap_linear,600000,0.008676470
binary_heap_linear,700000,0.010494333
binary_heap_linear,800000,0.012198899
binary_heap_linear,900000,0.013858985
binary_heap_linear,1000000,0.015395478
binary_heap_linear,1100000,0.016211142
binary_heap_linear,1200000,0.018341300
binary_heap_linear,1300000,0.020540214
binary_heap_linear,1400000,0.021951360
binary_heap_linear,1500000,0.024328173
binary_heap_inserts,100000,0.002190744
binary_heap_inserts,200000,0.004191088
binary_heap_inserts,300000,0.006427243
binary_heap_inserts,400000,0.009710353
binary_heap_inserts,500000,0.012560583
binary_heap_inserts,600000,0.013970687
binary_heap_inserts,700000,0.016413650
binary_heap_inserts,800000,0.018469496
binary_heap_inserts,900000,0.020739821
binary_heap_inserts,1000000,0.021662137
binary_heap_inserts,1100000,0.025133359
binary_heap_inserts,1200000,0.028056219
binary_heap_inserts,1300000,0.030307242
binary_heap_inserts,1400000,0.031026279
binary_heap_inserts,1500000,0.036125230
